dt,AverageTemperature
1865-01-01,24.824
1865-02-01,23.922
1865-03-01,24.72
1865-04-01,26.955
1865-05-01,28.432
1865-06-01,28.716
1865-07-01,27.123
1865-08-01,26.569
1865-09-01,27.322
1865-10-01,27.609
1865-11-01,27.64
1865-12-01,25.297
1866-01-01,24.494
1866-02-01,23.556
1866-03-01,25.235
1866-04-01,27.519
1866-05-01,29.065
1866-06-01,28.191
1866-07-01,27.261
1866-08-01,26.302
1866-09-01,26.944
1866-10-01,27.208
1866-11-01,27.212
1866-12-01,26.278
1867-01-01,24.438
1867-02-01,23.764
1867-03-01,25.298
1867-04-01,27.475
1867-05-01,28.376
1867-06-01,28.442
1867-07-01,27.018
1867-08-01,26.434
1867-09-01,26.941
1867-10-01,27.669
1867-11-01,27.987
1867-12-01,26.227
1868-01-01,23.965
1868-02-01,23.576
1868-03-01,25.397
1868-04-01,27.588
1868-05-01,29.2
1868-06-01,28.282
1868-07-01,27.064
1868-08-01,26.709
1868-09-01,27.014
1868-10-01,28.031
1868-11-01,26.982
1868-12-01,25.578
1869-01-01,24.045
1869-02-01,24.809
1869-03-01,25.475
1869-04-01,27.829
1869-05-01,28.785
1869-06-01,28.492
1869-07-01,27.229
1869-08-01,26.496
1869-09-01,27.234
1869-10-01,27.511
1869-11-01,27.116
1869-12-01,25.046
1870-01-01,24
1870-02-01,23.282
1870-03-01,25.29
1870-04-01,27.394
1870-05-01,29.051
1870-06-01,28.282
1870-07-01,26.686
1870-08-01,25.787
1870-09-01,26.654
1870-10-01,27.191
1870-11-01,26.934
1870-12-01,24.744
1871-01-01,23.371
1871-02-01,23.188
1871-03-01,25.472
1871-04-01,27.543
1871-05-01,28.189
1871-06-01,28.028
1871-07-01,26.687
1871-08-01,26.47
1871-09-01,26.801
1871-10-01,27.605
1871-11-01,26.667
1871-12-01,25.206
1872-01-01,23.651
1872-02-01,23.53
1872-03-01,25.703
1872-04-01,27.296
1872-05-01,28.647
1872-06-01,27.918
1872-07-01,26.724
1872-08-01,26.085
1872-09-01,26.761
1872-10-01,27.595
1872-11-01,26.715
1872-12-01,24.955
1873-01-01,23.675
1873-02-01,24.039
1873-03-01,25.322
1873-04-01,27.179
1873-05-01,28.685
1873-06-01,28.003
1873-07-01,26.661
1873-08-01,26.361
1873-09-01,26.609
1873-10-01,27.758
1873-11-01,26.832
1873-12-01,25.623
1874-01-01,23.906
1874-02-01,23.962
1874-03-01,24.88
1874-04-01,27.614
1874-05-01,28.561
1874-06-01,27.85
1874-07-01,26.673
1874-08-01,26.437
1874-09-01,26.577
1874-10-01,27.965
1874-11-01,27.48
1874-12-01,25.326
1875-01-01,23.827
1875-02-01,23.691
1875-03-01,27.163
1875-04-01,27.806
1875-05-01,29.324
1875-06-01,28.038
1875-07-01,26.312
1875-08-01,26.332
1875-09-01,26.413
1875-10-01,26.372
1875-11-01,26.721
1875-12-01,25.591
1876-01-01,25.208
1876-02-01,24.638
1876-03-01,26.468
1876-04-01,28.298
1876-05-01,28.916
1876-06-01,28.071
1876-07-01,26.393
1876-08-01,25.972
1876-09-01,26.044
1876-10-01,28.146
1876-11-01,27.624
1876-12-01,26.29
1877-01-01,24.592
1877-02-01,24.126
1877-03-01,25.832
1877-04-01,26.925
1877-05-01,28.51
1877-06-01,28.294
1877-07-01,28.062
1877-08-01,27.68
1877-09-01,27.641
1877-10-01,27.346
1877-11-01,28.52
1877-12-01,27.341
1878-01-01,24.018
1878-02-01,25.441
1878-03-01,26.682
1878-04-01,27.4
1878-05-01,28.907
1878-06-01,28.837
1878-07-01,27.104
1878-08-01,26.632
1878-09-01,27.168
1878-10-01,28.226
1878-11-01,27.313
1878-12-01,24.875
1879-01-01,24.437
1879-02-01,23.949
1879-03-01,25.247
1879-04-01,27.478
1879-05-01,28.302
1879-06-01,26.801
1879-07-01,27.207
1879-08-01,25.696
1879-09-01,26.2
1879-10-01,27.13
1879-11-01,25.587
1879-12-01,23.957
1880-01-01,23.816
1880-02-01,23.352
1880-03-01,27.034
1880-04-01,27.867
1880-05-01,28.624
1880-06-01,27.538
1880-07-01,26.326
1880-08-01,26.555
1880-09-01,26.149
1880-10-01,27.768
1880-11-01,27.281
1880-12-01,25.757
1881-01-01,24.511
1881-02-01,24.744
1881-03-01,25.499
1881-04-01,27.303
1881-05-01,29.224
1881-06-01,28.003
1881-07-01,26.749
1881-08-01,26.456
1881-09-01,26.621
1881-10-01,27.531
1881-11-01,26.512
1881-12-01,25.46
1882-01-01,25.067
1882-02-01,23.925
1882-03-01,26.184
1882-04-01,27.207
1882-05-01,28.228
1882-06-01,26.776
1882-07-01,25.806
1882-08-01,26.439
1882-09-01,26.512
1882-10-01,27.155
1882-11-01,26.203
